ID,PREDICTION
1,1
2,0.73197484265850932
3,1
4,0.031821210292754643
5,1
6,1
7,1
8,1
9,0.41162334558587155
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,0.36536101276600164
20,0.75407572176683146
21,0.37515416660868439
22,1
23,1
24,0.17681020565906636
25,1
26,0.40671542826043616
27,0.63132646483891364
28,0.74012282681106711
29,1
30,1
31,0.47374107362828255
32,0.79478407961206443
33,1
34,1
35,1
36,0.71210698833762365
37,0.41462670686683722
38,0.32853057282553522
39,1
40,0.34496167880486439
41,0.63895928394901347
42,0.48803164708848001
43,0
44,1
45,1
46,0.51895958911572748
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,0.53557018958754554
59,1
60,1
61,1
62,0.68712745985348533
63,1
64,1
65,1
66,1
67,1
68,1
69,0.29086014100862201
70,0.21718838977989208
71,0.65822714837318586
72,0.55756477530258408
73,1
74,1
75,0.53213767247158117
76,0.5068480694811619
77,1
78,1
79,1
80,1
81,0.29898731442968884
82,0.38681758897790708
83,0.40703900980127017
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,0.30265392135419145
96,0
97,1
98,0.24113204208328298
99,0.58242467593595393
100,0.58830819330853412
101,1
102,1
103,1
104,0
105,1
106,1
107,0.30593182229661409
108,1
109,1
110,1
111,0.79446864704785369
112,1
113,1
114,1
115,0.60264711959416672
116,1
117,0.52485895465663646
118,0.72001587011737289
119,1
120,1
121,1
122,1
123,1
124,1
125,0.55389901510788064
126,1
127,1
128,1
129,1
130,0
131,0.6539910418082755
132,1
133,1
134,1
135,1
136,1
137,0.42332255347068326
138,0.55569278702350644
