ID,PREDICTION
1,1
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,0
19,1
20,1
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,0
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,0
91,0
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,0
100,0
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,0
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,0
