ID,PREDICTION
1,60
2,70
3,50
4,74
5,70
6,72
7,52
8,54
9,62
10,53
11,29
12,56
13,61
14,39
15,31
16,63
17,26
18,68
19,89
20,81
21,85
22,32
23,70
24,87
25,65
26,49
27,72
28,16
29,27
30,34
31,67
32,43
33,10
34,26
35,24
36,61
37,80
38,87
39,62
40,85
41,38
42,66
43,81
44,33
45,60
46,55
47,43
48,34
49,26
50,69
51,23
52,79
53,18
54,49
55,28
56,83
57,71
58,75
59,17
60,50
61,60
62,74
63,44
64,56
65,14
66,35
67,25
68,32
69,78
70,71
71,81
72,73
73,7
74,14
75,75
76,70
77,50
78,55
79,57
80,34
81,67
82,78
83,80
84,36
85,35
86,84
87,16
88,46
89,34
90,76
91,27
92,64
93,47
94,25
95,63
96,82
97,65
98,74
99,61
100,52
101,56
102,42
103,46
104,78
105,23
106,35
107,83
108,33
109,25
110,61
111,32
112,31
113,10
114,70
115,86
116,34
117,68
118,68
119,40
120,22
121,32
122,23
123,37
124,35
125,69
126,29
127,41
128,47
129,34
130,82
131,11
132,41
133,18
134,25
135,20
136,11
137,90
138,81
