ID,PREDICTION
1,63
2,71
3,53
4,73
5,71
6,73
7,54
8,58
9,63
10,55
11,29
12,55
13,63
14,38
15,29
16,63
17,26
18,71
19,90
20,81
21,88
22,31
23,72
24,84
25,65
26,49
27,71
28,16
29,28
30,39
31,67
32,43
33,12
34,26
35,24
36,62
37,81
38,89
39,62
40,85
41,36
42,63
43,81
44,35
45,60
46,57
47,43
48,34
49,29
50,73
51,24
52,78
53,18
54,51
55,30
56,79
57,70
58,76
59,16
60,54
61,62
62,76
63,44
64,57
65,13
66,37
67,25
68,31
69,79
70,73
71,80
72,74
73,5
74,11
75,75
76,70
77,50
78,55
79,59
80,34
81,68
82,74
83,81
84,34
85,36
86,80
87,20
88,45
89,32
90,76
91,26
92,64
93,46
94,26
95,64
96,93
97,67
98,71
99,61
100,51
101,55
102,43
103,48
104,96
105,22
106,35
107,83
108,35
109,24
110,60
111,30
112,29
113,9
114,72
115,84
116,34
117,66
118,67
119,38
120,20
121,34
122,23
123,37
124,36
125,69
126,32
127,45
128,51
129,34
130,82
131,14
132,39
133,17
134,26
135,19
136,8
137,90
138,82
