ID,Sample,Label,Predicted
0,0,gender,True
1,0,age,False
2,0,health,False
3,1,gender,True
4,1,age,False
5,1,health,False
6,2,gender,True
7,2,age,False
8,2,health,True
9,3,gender,False
10,3,age,False
11,3,health,False
12,4,gender,True
13,4,age,False
14,4,health,False
15,5,gender,False
16,5,age,False
17,5,health,False
18,6,gender,False
19,6,age,False
20,6,health,False
21,7,gender,True
22,7,age,False
23,7,health,True
24,8,gender,True
25,8,age,False
26,8,health,False
27,9,gender,True
28,9,age,False
29,9,health,False
30,10,gender,True
31,10,age,False
32,10,health,False
33,11,gender,True
34,11,age,False
35,11,health,False
36,12,gender,False
37,12,age,False
38,12,health,False
39,13,gender,True
40,13,age,False
41,13,health,True
42,14,gender,True
43,14,age,False
44,14,health,True
45,15,gender,True
46,15,age,False
47,15,health,False
48,16,gender,True
49,16,age,False
50,16,health,True
51,17,gender,False
52,17,age,False
53,17,health,False
54,18,gender,True
55,18,age,False
56,18,health,False
57,19,gender,True
58,19,age,False
59,19,health,False
60,20,gender,True
61,20,age,False
62,20,health,False
63,21,gender,True
64,21,age,False
65,21,health,False
66,22,gender,False
67,22,age,False
68,22,health,False
69,23,gender,False
70,23,age,False
71,23,health,False
72,24,gender,False
73,24,age,False
74,24,health,False
75,25,gender,True
76,25,age,False
77,25,health,True
78,26,gender,True
79,26,age,False
80,26,health,False
81,27,gender,False
82,27,age,False
83,27,health,True
84,28,gender,True
85,28,age,False
86,28,health,True
87,29,gender,True
88,29,age,False
89,29,health,False
90,30,gender,True
91,30,age,False
92,30,health,False
93,31,gender,True
94,31,age,False
95,31,health,True
96,32,gender,True
97,32,age,False
98,32,health,False
99,33,gender,False
100,33,age,False
101,33,health,True
102,34,gender,False
103,34,age,False
104,34,health,True
105,35,gender,True
106,35,age,False
107,35,health,True
108,36,gender,False
109,36,age,False
110,36,health,False
111,37,gender,False
112,37,age,False
113,37,health,False
114,38,gender,False
115,38,age,False
116,38,health,False
117,39,gender,False
118,39,age,False
119,39,health,False
120,40,gender,False
121,40,age,False
122,40,health,False
123,41,gender,False
124,41,age,False
125,41,health,True
126,42,gender,False
127,42,age,False
128,42,health,False
129,43,gender,True
130,43,age,False
131,43,health,True
132,44,gender,False
133,44,age,False
134,44,health,False
135,45,gender,True
136,45,age,False
137,45,health,False
138,46,gender,False
139,46,age,False
140,46,health,False
141,47,gender,False
142,47,age,False
143,47,health,True
144,48,gender,True
145,48,age,False
146,48,health,True
147,49,gender,False
148,49,age,False
149,49,health,False
150,50,gender,True
151,50,age,False
152,50,health,True
153,51,gender,True
154,51,age,False
155,51,health,True
156,52,gender,True
157,52,age,False
158,52,health,True
159,53,gender,True
160,53,age,False
161,53,health,False
162,54,gender,False
163,54,age,True
164,54,health,True
165,55,gender,False
166,55,age,False
167,55,health,True
168,56,gender,False
169,56,age,False
170,56,health,True
171,57,gender,False
172,57,age,False
173,57,health,False
174,58,gender,False
175,58,age,False
176,58,health,True
177,59,gender,True
178,59,age,False
179,59,health,True
180,60,gender,True
181,60,age,False
182,60,health,False
183,61,gender,True
184,61,age,False
185,61,health,False
186,62,gender,False
187,62,age,False
188,62,health,False
189,63,gender,True
190,63,age,False
191,63,health,False
192,64,gender,False
193,64,age,False
194,64,health,False
195,65,gender,True
196,65,age,False
197,65,health,True
198,66,gender,False
199,66,age,False
200,66,health,True
201,67,gender,False
202,67,age,False
203,67,health,False
204,68,gender,False
205,68,age,False
206,68,health,False
207,69,gender,True
208,69,age,False
209,69,health,True
210,70,gender,True
211,70,age,False
212,70,health,False
213,71,gender,False
214,71,age,False
215,71,health,False
216,72,gender,False
217,72,age,False
218,72,health,False
219,73,gender,False
220,73,age,False
221,73,health,False
222,74,gender,True
223,74,age,False
224,74,health,False
225,75,gender,False
226,75,age,False
227,75,health,False
228,76,gender,True
229,76,age,False
230,76,health,False
231,77,gender,False
232,77,age,False
233,77,health,True
234,78,gender,True
235,78,age,False
236,78,health,True
237,79,gender,False
238,79,age,False
239,79,health,False
240,80,gender,True
241,80,age,False
242,80,health,True
243,81,gender,False
244,81,age,False
245,81,health,False
246,82,gender,False
247,82,age,False
248,82,health,False
249,83,gender,False
250,83,age,False
251,83,health,True
252,84,gender,True
253,84,age,False
254,84,health,False
255,85,gender,True
256,85,age,False
257,85,health,False
258,86,gender,False
259,86,age,False
260,86,health,False
261,87,gender,True
262,87,age,False
263,87,health,False
264,88,gender,True
265,88,age,False
266,88,health,False
267,89,gender,False
268,89,age,False
269,89,health,False
270,90,gender,False
271,90,age,False
272,90,health,False
273,91,gender,True
274,91,age,False
275,91,health,True
276,92,gender,False
277,92,age,False
278,92,health,True
279,93,gender,False
280,93,age,False
281,93,health,False
282,94,gender,True
283,94,age,False
284,94,health,False
285,95,gender,False
286,95,age,False
287,95,health,False
288,96,gender,True
289,96,age,False
290,96,health,True
291,97,gender,True
292,97,age,False
293,97,health,False
294,98,gender,True
295,98,age,False
296,98,health,False
297,99,gender,False
298,99,age,False
299,99,health,False
300,100,gender,True
301,100,age,False
302,100,health,True
303,101,gender,True
304,101,age,False
305,101,health,False
306,102,gender,True
307,102,age,False
308,102,health,True
309,103,gender,False
310,103,age,False
311,103,health,False
312,104,gender,False
313,104,age,False
314,104,health,True
315,105,gender,True
316,105,age,False
317,105,health,True
318,106,gender,True
319,106,age,False
320,106,health,False
321,107,gender,True
322,107,age,False
323,107,health,False
324,108,gender,False
325,108,age,False
326,108,health,False
327,109,gender,False
328,109,age,False
329,109,health,False
330,110,gender,True
331,110,age,False
332,110,health,True
333,111,gender,True
334,111,age,False
335,111,health,True
336,112,gender,False
337,112,age,False
338,112,health,True
339,113,gender,True
340,113,age,False
341,113,health,False
342,114,gender,False
343,114,age,False
344,114,health,True
345,115,gender,False
346,115,age,False
347,115,health,True
348,116,gender,True
349,116,age,False
350,116,health,True
351,117,gender,True
352,117,age,False
353,117,health,False
354,118,gender,False
355,118,age,False
356,118,health,True
357,119,gender,True
358,119,age,False
359,119,health,False
360,120,gender,False
361,120,age,False
362,120,health,False
363,121,gender,True
364,121,age,False
365,121,health,True
366,122,gender,True
367,122,age,False
368,122,health,True
369,123,gender,False
370,123,age,False
371,123,health,True
372,124,gender,False
373,124,age,False
374,124,health,False
375,125,gender,False
376,125,age,False
377,125,health,False
378,126,gender,True
379,126,age,False
380,126,health,True
381,127,gender,True
382,127,age,False
383,127,health,True
384,128,gender,True
385,128,age,False
386,128,health,True
387,129,gender,False
388,129,age,False
389,129,health,False
390,130,gender,True
391,130,age,False
392,130,health,False
393,131,gender,False
394,131,age,False
395,131,health,False
396,132,gender,True
397,132,age,False
398,132,health,False
399,133,gender,True
400,133,age,False
401,133,health,False
402,134,gender,True
403,134,age,False
404,134,health,False
405,135,gender,True
406,135,age,False
407,135,health,True
408,136,gender,False
409,136,age,False
410,136,health,False
411,137,gender,True
412,137,age,False
413,137,health,False
