ID,Sample,Label,Predicted
0,0,gender,False
1,0,age,True
2,0,health,False
3,1,gender,False
4,1,age,False
5,1,health,False
6,2,gender,False
7,2,age,True
8,2,health,False
9,3,gender,False
10,3,age,False
11,3,health,False
12,4,gender,False
13,4,age,False
14,4,health,False
15,5,gender,False
16,5,age,False
17,5,health,False
18,6,gender,False
19,6,age,True
20,6,health,False
21,7,gender,False
22,7,age,True
23,7,health,False
24,8,gender,False
25,8,age,True
26,8,health,False
27,9,gender,False
28,9,age,True
29,9,health,False
30,10,gender,False
31,10,age,True
32,10,health,False
33,11,gender,False
34,11,age,True
35,11,health,False
36,12,gender,False
37,12,age,True
38,12,health,False
39,13,gender,False
40,13,age,True
41,13,health,False
42,14,gender,False
43,14,age,True
44,14,health,False
45,15,gender,False
46,15,age,True
47,15,health,False
48,16,gender,False
49,16,age,True
50,16,health,False
51,17,gender,False
52,17,age,False
53,17,health,False
54,18,gender,False
55,18,age,False
56,18,health,False
57,19,gender,False
58,19,age,True
59,19,health,False
60,20,gender,False
61,20,age,False
62,20,health,False
63,21,gender,False
64,21,age,True
65,21,health,False
66,22,gender,False
67,22,age,True
68,22,health,False
69,23,gender,False
70,23,age,True
71,23,health,False
72,24,gender,False
73,24,age,False
74,24,health,False
75,25,gender,False
76,25,age,True
77,25,health,False
78,26,gender,False
79,26,age,True
80,26,health,False
81,27,gender,False
82,27,age,True
83,27,health,False
84,28,gender,False
85,28,age,True
86,28,health,False
87,29,gender,False
88,29,age,True
89,29,health,False
90,30,gender,False
91,30,age,True
92,30,health,False
93,31,gender,False
94,31,age,True
95,31,health,False
96,32,gender,False
97,32,age,True
98,32,health,False
99,33,gender,False
100,33,age,True
101,33,health,False
102,34,gender,False
103,34,age,True
104,34,health,False
105,35,gender,False
106,35,age,True
107,35,health,False
108,36,gender,False
109,36,age,True
110,36,health,False
111,37,gender,False
112,37,age,False
113,37,health,False
114,38,gender,False
115,38,age,True
116,38,health,False
117,39,gender,False
118,39,age,False
119,39,health,False
120,40,gender,False
121,40,age,True
122,40,health,False
123,41,gender,False
124,41,age,False
125,41,health,False
126,42,gender,False
127,42,age,False
128,42,health,False
129,43,gender,False
130,43,age,True
131,43,health,False
132,44,gender,False
133,44,age,True
134,44,health,False
135,45,gender,False
136,45,age,True
137,45,health,False
138,46,gender,False
139,46,age,True
140,46,health,False
141,47,gender,False
142,47,age,True
143,47,health,False
144,48,gender,False
145,48,age,True
146,48,health,False
147,49,gender,False
148,49,age,True
149,49,health,False
150,50,gender,False
151,50,age,True
152,50,health,False
153,51,gender,False
154,51,age,True
155,51,health,False
156,52,gender,False
157,52,age,True
158,52,health,False
159,53,gender,False
160,53,age,True
161,53,health,False
162,54,gender,False
163,54,age,True
164,54,health,False
165,55,gender,False
166,55,age,False
167,55,health,False
168,56,gender,False
169,56,age,True
170,56,health,False
171,57,gender,False
172,57,age,True
173,57,health,False
174,58,gender,False
175,58,age,True
176,58,health,False
177,59,gender,False
178,59,age,True
179,59,health,False
180,60,gender,False
181,60,age,True
182,60,health,False
183,61,gender,False
184,61,age,True
185,61,health,False
186,62,gender,False
187,62,age,True
188,62,health,False
189,63,gender,False
190,63,age,True
191,63,health,False
192,64,gender,False
193,64,age,True
194,64,health,False
195,65,gender,False
196,65,age,True
197,65,health,False
198,66,gender,False
199,66,age,True
200,66,health,False
201,67,gender,False
202,67,age,True
203,67,health,False
204,68,gender,False
205,68,age,False
206,68,health,False
207,69,gender,False
208,69,age,True
209,69,health,False
210,70,gender,False
211,70,age,True
212,70,health,False
213,71,gender,False
214,71,age,False
215,71,health,False
216,72,gender,False
217,72,age,True
218,72,health,False
219,73,gender,False
220,73,age,True
221,73,health,False
222,74,gender,False
223,74,age,True
224,74,health,False
225,75,gender,False
226,75,age,True
227,75,health,False
228,76,gender,False
229,76,age,True
230,76,health,False
231,77,gender,False
232,77,age,True
233,77,health,False
234,78,gender,False
235,78,age,True
236,78,health,False
237,79,gender,False
238,79,age,True
239,79,health,False
240,80,gender,False
241,80,age,True
242,80,health,False
243,81,gender,False
244,81,age,True
245,81,health,False
246,82,gender,False
247,82,age,False
248,82,health,False
249,83,gender,False
250,83,age,True
251,83,health,False
252,84,gender,False
253,84,age,True
254,84,health,False
255,85,gender,False
256,85,age,False
257,85,health,False
258,86,gender,False
259,86,age,True
260,86,health,False
261,87,gender,False
262,87,age,True
263,87,health,False
264,88,gender,False
265,88,age,True
266,88,health,False
267,89,gender,False
268,89,age,True
269,89,health,False
270,90,gender,False
271,90,age,True
272,90,health,False
273,91,gender,False
274,91,age,True
275,91,health,False
276,92,gender,False
277,92,age,True
278,92,health,False
279,93,gender,False
280,93,age,True
281,93,health,False
282,94,gender,False
283,94,age,True
284,94,health,False
285,95,gender,False
286,95,age,True
287,95,health,False
288,96,gender,False
289,96,age,True
290,96,health,False
291,97,gender,False
292,97,age,True
293,97,health,False
294,98,gender,False
295,98,age,True
296,98,health,False
297,99,gender,False
298,99,age,True
299,99,health,False
300,100,gender,False
301,100,age,True
302,100,health,False
303,101,gender,False
304,101,age,True
305,101,health,False
306,102,gender,False
307,102,age,True
308,102,health,False
309,103,gender,False
310,103,age,False
311,103,health,False
312,104,gender,False
313,104,age,True
314,104,health,False
315,105,gender,False
316,105,age,True
317,105,health,False
318,106,gender,False
319,106,age,False
320,106,health,False
321,107,gender,False
322,107,age,True
323,107,health,False
324,108,gender,False
325,108,age,True
326,108,health,False
327,109,gender,False
328,109,age,True
329,109,health,False
330,110,gender,False
331,110,age,True
332,110,health,False
333,111,gender,False
334,111,age,True
335,111,health,False
336,112,gender,False
337,112,age,True
338,112,health,False
339,113,gender,False
340,113,age,True
341,113,health,False
342,114,gender,False
343,114,age,False
344,114,health,False
345,115,gender,False
346,115,age,True
347,115,health,False
348,116,gender,False
349,116,age,False
350,116,health,False
351,117,gender,False
352,117,age,True
353,117,health,False
354,118,gender,False
355,118,age,True
356,118,health,False
357,119,gender,False
358,119,age,True
359,119,health,False
360,120,gender,False
361,120,age,True
362,120,health,False
363,121,gender,False
364,121,age,True
365,121,health,False
366,122,gender,False
367,122,age,True
368,122,health,False
369,123,gender,False
370,123,age,True
371,123,health,False
372,124,gender,False
373,124,age,True
374,124,health,False
375,125,gender,False
376,125,age,True
377,125,health,False
378,126,gender,False
379,126,age,True
380,126,health,False
381,127,gender,False
382,127,age,False
383,127,health,False
384,128,gender,False
385,128,age,True
386,128,health,False
387,129,gender,False
388,129,age,False
389,129,health,False
390,130,gender,False
391,130,age,True
392,130,health,False
393,131,gender,False
394,131,age,True
395,131,health,False
396,132,gender,False
397,132,age,True
398,132,health,False
399,133,gender,False
400,133,age,True
401,133,health,False
402,134,gender,False
403,134,age,True
404,134,health,False
405,135,gender,False
406,135,age,True
407,135,health,False
408,136,gender,False
409,136,age,False
410,136,health,False
411,137,gender,False
412,137,age,False
413,137,health,False
