ID,PREDICTION
1,37
2,36
3,35
4,35
5,36
6,37
7,38
8,39
9,39
10,38
11,37
12,38
13,38
14,39
15,39
16,40
17,40
18,41
19,42
20,42
21,41
22,40
23,38
24,37
25,37
26,38
27,38
28,37
29,34
30,34
31,34
32,34
33,34
34,35
35,37
36,38
37,38
38,39
39,39
40,39
41,39
42,39
43,40
44,41
45,41
46,41
47,41
48,42
49,42
50,41
51,40
52,40
53,39
54,38
55,39
56,40
57,41
58,41
59,40
60,41
61,41
62,42
63,41
64,43
65,43
66,42
67,42
68,41
69,40
70,40
71,41
72,43
73,42
74,42
75,42
76,42
77,41
78,39
79,39
80,39
81,38
82,38
83,38
84,39
85,39
86,39
87,37
88,36
89,36
90,36
91,36
92,37
93,37
94,36
95,36
96,36
97,35
98,35
99,36
100,35
101,36
102,37
103,37
104,37
105,38
106,37
107,37
108,37
109,37
110,37
111,38
112,38
113,38
114,38
115,37
116,37
117,38
118,39
119,39
120,38
121,38
122,37
123,35
124,36
125,36
126,37
127,37
128,38
129,38
130,38
131,39
132,40
133,39
134,40
135,40
136,41
137,40
138,40
