ID,PREDICTION
1,38
2,38
3,37
4,36
5,36
6,37
7,38
8,39
9,39
10,39
11,39
12,39
13,40
14,40
15,40
16,40
17,41
18,41
19,42
20,42
21,42
22,41
23,39
24,39
25,40
26,41
27,40
28,38
29,36
30,35
31,36
32,36
33,38
34,39
35,38
36,40
37,40
38,41
39,41
40,41
41,42
42,42
43,42
44,41
45,40
46,40
47,41
48,42
49,44
50,43
51,43
52,43
53,42
54,40
55,41
56,41
57,41
58,41
59,39
60,38
61,38
62,38
63,36
64,35
65,36
66,35
67,34
68,34
69,34
70,34
71,34
72,35
73,36
74,36
75,36
76,36
77,36
78,36
79,36
80,36
81,36
82,36
83,36
84,36
85,35
86,35
87,34
88,33
89,33
90,31
91,31
92,32
93,32
94,32
95,32
96,32
97,32
98,32
99,32
100,33
101,34
102,34
103,34
104,35
105,36
106,35
107,35
108,36
109,37
110,36
111,36
112,37
113,38
114,38
115,37
116,37
117,36
118,37
119,36
120,37
121,36
122,35
123,34
124,34
125,35
126,35
127,36
128,38
129,38
130,38
131,39
132,39
133,38
134,37
135,37
136,37
137,39
138,39
