ID,PREDICTION
1,67
2,34
3,55
4,18
5,33
6,34
7,44
8,84
9,23
10,56
11,62
12,49
13,32
14,56
15,93
16,59
17,83
18,36
19,38
20,27
21,52
22,65
23,33
24,6
25,42
26,74
27,20
28,67
29,75
30,85
31,75
32,55
33,86
34,58
35,60
36,21
37,11
38,30
39,51
40,37
41,64
42,8
43,28
44,86
45,40
46,59
47,65
48,50
49,85
50,64
51,72
52,-2
53,67
54,61
55,76
56,38
57,64
58,43
59,93
60,56
61,54
62,40
63,52
64,43
65,73
66,78
67,77
68,78
69,36
70,67
71,10
72,12
73,86
74,73
75,26
76,15
77,72
78,15
79,47
80,76
81,65
82,31
83,30
84,35
85,65
86,16
87,82
88,69
89,59
90,66
91,58
92,37
93,59
94,56
95,42
96,-3
97,83
98,46
99,54
100,38
101,34
102,50
103,77
104,30
105,70
106,66
107,10
108,79
109,72
110,43
111,81
112,70
113,78
114,48
115,31
116,59
117,31
118,73
119,68
120,58
121,68
122,77
123,81
124,100
125,48
126,62
127,64
128,40
129,62
130,21
131,88
132,81
133,55
134,54
135,74
136,50
137,23
138,35
