ID,PREDICTION
1,42
2,88
3,42
4,99
5,77
6,88
7,77
8,31
9,58
10,76
11,18
12,75
13,56
14,45
15,26
16,90
17,14
18,52
19,91
20,69
21,81
22,33
23,87
24,84
25,74
26,35
27,85
28,36
29,21
30,36
31,67
32,38
33,20
34,62
35,24
36,78
37,100
38,86
39,63
40,70
41,42
42,81
43,95
44,35
45,80
46,60
47,29
48,39
49,17
50,45
51,12
52,71
53,28
54,58
55,26
56,114
57,83
58,64
59,30
60,71
61,62
62,63
63,15
64,52
65,39
66,31
67,19
68,45
69,89
70,53
71,82
72,91
73,24
74,17
75,90
76,86
77,30
78,55
79,57
80,25
81,53
82,74
83,61
84,66
85,28
86,58
87,30
88,41
89,25
90,100
91,37
92,66
93,48
94,38
95,72
96,88
97,38
98,74
99,40
100,64
101,50
102,42
103,37
104,69
105,35
106,19
107,69
108,29
109,42
110,61
111,21
112,33
113,34
114,68
115,78
116,51
117,71
118,43
119,34
120,19
121,25
122,18
123,34
124,9
125,75
126,32
127,33
128,77
129,21
130,69
131,36
132,36
133,39
134,38
135,32
136,26
137,77
138,90
