ID,PREDICTION
1,-134
2,-203
3,207
4,300
5,28
6,-195
7,-59
8,176
9,-190
10,-195
11,4
12,40
13,206
14,-357
15,-79
16,56
17,121
18,-375
19,99
20,-27
21,16
22,-94
23,-170
24,-297
25,-19
26,243
27,-142
28,-145
29,-90
30,-281
31,-314
32,-156
33,138
34,-7
35,43
36,-195
37,229
38,113
39,80
40,-118
41,52
42,17
43,208
44,-162
45,27
46,-179
47,-245
48,0
49,-190
50,57
51,-130
52,125
53,3
54,108
55,19
56,9
57,114
58,-131
59,-151
60,-175
61,-170
62,-59
63,90
64,150
65,-50
66,-62
67,-61
68,-15
69,-98
70,-483
71,54
72,-243
73,98
74,-10
75,174
76,28
77,-50
78,-188
79,3
80,-203
81,-75
82,-166
83,-110
84,112
85,-57
86,-47
87,114
88,-130
89,161
90,306
91,137
92,-222
93,-80
94,-23
95,-103
96,-116
97,188
98,178
99,62
100,-239
101,-280
102,-196
103,394
104,-28
105,-161
106,27
107,-152
108,-226
109,-123
110,-233
111,-208
112,-204
113,-165
114,-126
115,-88
116,82
117,-110
118,136
119,-36
120,1
121,-81
122,-22
123,-350
124,102
125,-140
126,-404
127,162
128,-384
129,-1
130,-148
131,191
132,2
133,-173
134,157
135,194
136,-146
137,-213
138,215
