ID,PREDICTION
1,73
2,79
3,88
4,83
5,83
6,81
7,82
8,79
9,89
10,83
11,82
12,85
13,74
14,76
15,80
16,83
17,87
18,79
19,80
20,77
21,77
22,84
23,87
24,87
25,78
26,77
27,70
28,70
29,85
30,80
31,79
32,79
33,91
34,86
35,85
36,82
37,84
38,91
39,88
40,89
41,91
42,81
43,79
44,82
45,80
46,83
47,94
48,90
49,87
50,83
51,82
52,82
53,87
54,82
55,83
56,85
57,79
58,77
59,82
60,81
61,90
62,80
63,76
64,76
65,74
66,86
67,87
68,79
69,78
70,81
71,72
72,75
73,86
74,78
75,75
76,77
77,82
78,81
79,87
80,81
81,80
82,88
83,90
84,91
85,89
86,84
87,84
88,84
89,84
90,85
91,88
92,87
93,86
94,79
95,78
96,82
97,90
98,83
99,85
100,81
101,79
102,79
103,81
104,83
105,85
106,85
107,79
108,75
109,76
110,88
111,86
112,79
113,81
114,77
115,77
116,84
117,87
118,88
119,80
120,77
121,80
122,71
123,82
124,81
125,80
126,87
127,90
128,82
129,87
130,83
131,85
132,86
133,84
134,94
135,91
136,83
137,81
138,78
