ID,PREDICTION
1,54
2,50
3,58
4,26
5,42
6,47
7,44
8,25
9,62
10,49
11,64
12,49
13,29
14,53
15,63
16,37
17,47
18,52
19,29
20,54
21,73
22,40
23,49
24,23
25,63
26,66
27,47
28,48
29,62
30,41
31,51
32,50
33,47
34,49
35,30
36,55
37,54
38,24
39,69
40,18
41,62
42,39
43,48
44,29
45,50
46,50
47,44
48,36
49,56
50,50
51,46
52,45
53,67
54,79
55,60
56,38
57,39
58,68
59,54
60,53
61,52
62,48
63,39
64,42
65,51
66,70
67,45
68,52
69,56
70,23
71,56
72,61
73,44
74,47
75,61
76,37
77,39
78,24
79,43
80,39
81,52
82,55
83,47
84,54
85,57
86,49
87,32
88,63
89,69
90,46
91,72
92,53
93,76
94,59
95,70
96,34
97,49
98,46
99,42
100,41
101,41
102,37
103,67
104,51
105,38
106,51
107,37
108,45
109,26
110,58
111,84
112,34
113,47
114,37
115,52
116,59
117,41
118,58
119,42
120,36
121,30
122,39
123,62
124,65
125,53
126,69
127,40
128,58
129,64
130,30
131,35
132,55
133,38
134,67
135,26
136,56
137,52
138,53
