ID,PREDICTION
1,87
2,58
3,109
4,70
5,69
6,25
7,85
8,60
9,58
10,38
11,16
12,49
13,36
14,54
15,7
16,65
17,15
18,54
19,65
20,85
21,98
22,54
23,113
24,96
25,67
26,48
27,75
28,22
29,49
30,8
31,63
32,32
33,-8
34,44
35,1
36,60
37,29
38,129
39,58
40,109
41,43
42,56
43,21
44,91
45,77
46,62
47,37
48,9
49,20
50,47
51,18
52,116
53,14
54,73
55,22
56,28
57,60
58,79
59,13
60,42
61,94
62,103
63,27
64,-10
65,18
66,36
67,23
68,65
69,67
70,55
71,72
72,75
73,22
74,17
75,91
76,48
77,47
78,59
79,73
80,23
81,67
82,53
83,78
84,40
85,71
86,90
87,24
88,12
89,42
90,109
91,32
92,60
93,27
94,29
95,69
96,118
97,122
98,48
99,77
100,60
101,57
102,40
103,43
104,90
105,-2
106,49
107,76
108,38
109,24
110,52
111,37
112,46
113,44
114,34
115,24
116,-9
117,49
118,73
119,28
120,31
121,17
122,41
123,39
124,38
125,47
126,45
127,35
128,37
129,43
130,73
131,23
132,70
133,-1
134,6
135,5
136,10
137,91
138,110
