ID,PREDICTION
1,62
2,69
3,53
4,73
5,74
6,72
7,54
8,56
9,64
10,53
11,30
12,53
13,63
14,37
15,29
16,63
17,23
18,69
19,90
20,83
21,89
22,31
23,70
24,83
25,64
26,52
27,70
28,16
29,28
30,34
31,67
32,42
33,11
34,28
35,24
36,60
37,80
38,90
39,61
40,84
41,36
42,65
43,83
44,32
45,61
46,55
47,42
48,34
49,30
50,75
51,24
52,77
53,18
54,50
55,28
56,81
57,71
58,78
59,16
60,53
61,61
62,77
63,45
64,57
65,12
66,37
67,25
68,29
69,78
70,71
71,83
72,73
73,2
74,10
75,76
76,68
77,52
78,54
79,59
80,34
81,66
82,75
83,80
84,34
85,35
86,83
87,16
88,45
89,31
90,77
91,23
92,66
93,43
94,26
95,63
96,88
97,68
98,73
99,60
100,52
101,57
102,41
103,49
104,88
105,22
106,36
107,83
108,32
109,23
110,60
111,31
112,29
113,11
114,70
115,83
116,33
117,68
118,67
119,38
120,21
121,35
122,21
123,38
124,37
125,67
126,31
127,43
128,51
129,36
130,82
131,12
132,37
133,19
134,25
135,19
136,9
137,91
138,82
