ID,PREDICTION
1,84
2,52
3,82
4,79
5,73
6,58
7,70
8,68
9,62
10,44
11,17
12,61
13,43
14,54
15,24
16,63
17,11
18,68
19,72
20,82
21,89
22,49
23,95
24,74
25,53
26,62
27,77
28,24
29,27
30,23
31,70
32,42
33,-7
34,46
35,18
36,69
37,72
38,113
39,52
40,99
41,61
42,59
43,64
44,59
45,62
46,61
47,47
48,17
49,46
50,75
51,32
52,91
53,27
54,70
55,21
56,52
57,76
58,77
59,26
60,63
61,82
62,88
63,17
64,24
65,11
66,55
67,25
68,58
69,74
70,52
71,85
72,78
73,-4
74,5
75,84
76,53
77,51
78,63
79,68
80,38
81,61
82,59
83,83
84,26
85,62
86,91
87,27
88,36
89,34
90,77
91,32
92,59
93,34
94,22
95,75
96,106
97,94
98,71
99,74
100,56
101,58
102,38
103,46
104,19
105,-4
106,50
107,70
108,33
109,28
110,48
111,42
112,22
113,31
114,39
115,51
116,16
117,58
118,64
119,44
120,13
121,23
122,37
123,44
124,29
125,61
126,51
127,54
128,43
129,49
130,84
131,32
132,57
133,2
134,23
135,20
136,10
137,81
138,106
