ID,PREDICTION
1,60
2,71
3,50
4,73
5,70
6,73
7,53
8,54
9,62
10,53
11,29
12,56
13,61
14,40
15,32
16,62
17,26
18,69
19,89
20,82
21,85
22,33
23,69
24,88
25,66
26,49
27,72
28,16
29,25
30,34
31,67
32,44
33,11
34,27
35,25
36,62
37,80
38,86
39,62
40,85
41,39
42,67
43,80
44,33
45,60
46,55
47,43
48,34
49,25
50,69
51,23
52,78
53,19
54,49
55,28
56,83
57,72
58,74
59,17
60,51
61,61
62,75
63,45
64,55
65,14
66,36
67,25
68,32
69,78
70,71
71,80
72,74
73,7
74,14
75,75
76,69
77,49
78,56
79,57
80,34
81,66
82,76
83,79
84,37
85,35
86,83
87,17
88,46
89,35
90,75
91,27
92,64
93,46
94,26
95,64
96,80
97,65
98,74
99,60
100,53
101,56
102,43
103,47
104,76
105,22
106,35
107,83
108,33
109,26
110,61
111,32
112,31
113,11
114,70
115,86
116,35
117,68
118,68
119,41
120,21
121,32
122,23
123,38
124,35
125,68
126,29
127,42
128,48
129,34
130,83
131,12
132,42
133,18
134,25
135,22
136,12
137,88
138,81
