ID,PREDICTION
1,61
2,71
3,51
4,75
5,69
6,71
7,53
8,55
9,63
10,53
11,31
12,57
13,61
14,37
15,30
16,63
17,27
18,68
19,90
20,81
21,85
22,32
23,69
24,87
25,66
26,49
27,72
28,18
29,27
30,31
31,67
32,43
33,13
34,27
35,26
36,62
37,80
38,87
39,61
40,86
41,38
42,67
43,82
44,31
45,61
46,55
47,43
48,36
49,27
50,69
51,26
52,78
53,21
54,48
55,30
56,85
57,72
58,73
59,18
60,53
61,61
62,75
63,44
64,55
65,11
66,36
67,25
68,33
69,79
70,72
71,81
72,72
73,5
74,13
75,74
76,69
77,51
78,53
79,56
80,34
81,66
82,78
83,80
84,37
85,37
86,85
87,15
88,46
89,36
90,75
91,29
92,64
93,46
94,25
95,63
96,87
97,65
98,73
99,61
100,53
101,56
102,41
103,48
104,83
105,24
106,35
107,84
108,35
109,26
110,60
111,32
112,30
113,11
114,70
115,87
116,35
117,68
118,68
119,41
120,22
121,33
122,23
123,38
124,37
125,69
126,29
127,43
128,45
129,35
130,82
131,11
132,42
133,18
134,26
135,19
136,13
137,91
138,80
