ID,PREDICTION
1,63
2,71
3,53
4,73
5,70
6,72
7,54
8,58
9,63
10,55
11,29
12,55
13,63
14,38
15,29
16,63
17,26
18,70
19,90
20,81
21,87
22,31
23,71
24,85
25,65
26,49
27,71
28,16
29,28
30,38
31,66
32,43
33,12
34,27
35,24
36,62
37,81
38,89
39,61
40,86
41,37
42,65
43,81
44,35
45,60
46,57
47,43
48,35
49,28
50,73
51,24
52,78
53,19
54,50
55,29
56,81
57,71
58,75
59,16
60,55
61,61
62,76
63,44
64,56
65,12
66,37
67,25
68,31
69,79
70,73
71,81
72,73
73,6
74,11
75,74
76,70
77,50
78,54
79,59
80,33
81,67
82,75
83,80
84,35
85,36
86,82
87,19
88,45
89,33
90,76
91,26
92,65
93,46
94,26
95,64
96,90
97,67
98,71
99,61
100,52
101,54
102,42
103,48
104,90
105,22
106,35
107,83
108,35
109,23
110,61
111,31
112,29
113,10
114,72
115,84
116,34
117,65
118,68
119,39
120,20
121,34
122,24
123,38
124,37
125,69
126,32
127,45
128,49
129,34
130,82
131,15
132,40
133,18
134,25
135,20
136,8
137,90
138,82
