ID,PREDICTION
1,32
2,-2
3,49
4,47
5,13
6,46
7,26
8,31
9,56
10,10
11,19
12,21
13,25
14,-2
15,-8
16,-5
17,21
18,64
19,39
20,34
21,55
22,26
23,34
24,9
25,52
26,62
27,47
28,33
29,34
30,27
31,40
32,33
33,92
34,24
35,39
36,21
37,18
38,37
39,39
40,12
41,64
42,40
43,46
44,7
45,35
46,14
47,46
48,46
49,25
50,3
51,41
52,1
53,39
54,50
55,58
56,6
57,20
58,55
59,12
60,7
61,5
62,16
63,20
64,42
65,10
66,25
67,25
68,16
69,40
70,51
71,24
72,44
73,20
74,15
75,50
76,0
77,-8
78,64
79,43
80,49
81,57
82,55
83,49
84,38
85,18
86,11
87,30
88,44
89,57
90,42
91,84
92,44
93,48
94,68
95,30
96,26
97,43
98,34
99,32
100,1
101,23
102,23
103,56
104,45
105,24
106,57
107,27
108,73
109,29
110,23
111,31
112,-9
113,48
114,41
115,38
116,22
117,4
118,50
119,9
120,45
121,54
122,19
123,61
124,22
125,73
126,76
127,65
128,81
129,46
130,44
131,7
132,42
133,10
134,62
135,21
136,33
137,29
138,8
