ID,PREDICTION
1,78
2,44
3,58
4,153
5,80
6,75
7,100
8,102
9,221
10,20
11,34
12,103
13,109
14,66
15,99
16,102
17,96
18,158
19,47
20,124
21,148
22,47
23,155
24,159
25,96
26,142
27,92
28,26
29,99
30,17
31,138
32,86
33,164
34,130
35,156
36,81
37,99
38,-16
39,100
40,-35
41,156
42,23
43,153
44,63
45,29
46,99
47,156
48,29
49,61
50,34
51,137
52,86
53,36
54,61
55,28
56,-29
57,12
58,78
59,119
60,74
61,109
62,22
63,83
64,104
65,44
66,-66
67,-27
68,-1
69,90
70,108
71,157
72,51
73,61
74,107
75,114
76,153
77,-37
78,-6
79,101
80,81
81,98
82,75
83,49
84,65
85,101
86,41
87,155
88,105
89,160
90,108
91,75
92,-6
93,120
94,87
95,73
96,125
97,99
98,102
99,129
100,94
101,36
102,159
103,132
104,122
105,75
106,115
107,-47
108,41
109,134
110,114
111,79
112,-78
113,142
114,1
115,25
116,119
117,-20
118,38
119,79
120,21
121,109
122,26
123,150
124,148
125,62
126,134
127,94
128,58
129,81
130,118
131,159
132,94
133,82
134,204
135,159
136,149
137,-19
138,6
