ID,PREDICTION
1,53
2,21
3,47
4,56
5,20
6,53
7,35
8,37
9,62
10,28
11,33
12,32
13,48
14,27
15,34
16,22
17,35
18,59
19,54
20,59
21,58
22,51
23,52
24,54
25,47
26,65
27,58
28,37
29,64
30,27
31,50
32,36
33,76
34,46
35,50
36,39
37,38
38,38
39,39
40,27
41,66
42,42
43,47
44,14
45,39
46,32
47,55
48,44
49,43
50,43
51,50
52,38
53,39
54,57
55,68
56,33
57,30
58,51
59,47
60,33
61,36
62,26
63,36
64,53
65,48
66,43
67,29
68,30
69,55
70,54
71,49
72,51
73,39
74,40
75,58
76,43
77,13
78,40
79,56
80,53
81,50
82,42
83,50
84,49
85,46
86,34
87,38
88,50
89,60
90,58
91,84
92,47
93,61
94,71
95,47
96,50
97,51
98,45
99,42
100,26
101,45
102,49
103,57
104,63
105,38
106,62
107,56
108,68
109,49
110,45
111,51
112,11
113,60
114,46
115,57
116,38
117,37
118,60
119,34
120,50
121,63
122,49
123,63
124,41
125,62
126,71
127,64
128,66
129,51
130,58
131,34
132,56
133,24
134,68
135,25
136,41
137,25
138,33
