ID,PREDICTION
1,47
2,77
3,56
4,86
5,73
6,72
7,50
8,28
9,52
10,67
11,27
12,59
13,72
14,42
15,29
16,65
17,21
18,75
19,85
20,82
21,78
22,26
23,67
24,79
25,79
26,28
27,65
28,18
29,29
30,32
31,48
32,35
33,35
34,54
35,27
36,67
37,98
38,85
39,50
40,84
41,48
42,70
43,79
44,34
45,60
46,59
47,27
48,27
49,26
50,55
51,23
52,71
53,25
54,61
55,37
56,91
57,71
58,61
59,27
60,71
61,70
62,60
63,26
64,52
65,29
66,33
67,28
68,29
69,83
70,58
71,77
72,80
73,22
74,26
75,81
76,87
77,29
78,59
79,58
80,20
81,49
82,77
83,64
84,58
85,37
86,75
87,33
88,41
89,37
90,65
91,29
92,60
93,36
94,31
95,59
96,88
97,39
98,63
99,45
100,59
101,55
102,60
103,34
104,76
105,31
106,37
107,76
108,35
109,39
110,59
111,50
112,30
113,36
114,56
115,77
116,35
117,78
118,44
119,45
120,40
121,34
122,25
123,38
124,30
125,61
126,36
127,45
128,53
129,24
130,81
131,24
132,22
133,42
134,36
135,31
136,19
137,75
138,73
