ID,PREDICTION
1,51
2,83
3,56
4,103
5,82
6,88
7,74
8,34
9,53
10,62
11,21
12,64
13,59
14,45
15,34
16,71
17,18
18,71
19,90
20,82
21,95
22,36
23,78
24,88
25,77
26,27
27,76
28,30
29,35
30,33
31,52
32,29
33,20
34,54
35,30
36,78
37,99
38,80
39,59
40,93
41,38
42,75
43,87
44,40
45,71
46,63
47,29
48,33
49,22
50,66
51,17
52,63
53,24
54,56
55,40
56,94
57,76
58,65
59,31
60,77
61,69
62,61
63,17
64,47
65,34
66,35
67,12
68,27
69,79
70,56
71,80
72,75
73,23
74,17
75,89
76,80
77,40
78,54
79,63
80,22
81,53
82,71
83,70
84,61
85,29
86,70
87,21
88,26
89,24
90,78
91,24
92,72
93,39
94,35
95,62
96,85
97,36
98,83
99,39
100,64
101,52
102,40
103,40
104,69
105,35
106,29
107,70
108,35
109,31
110,60
111,20
112,30
113,35
114,69
115,71
116,33
117,70
118,43
119,38
120,34
121,32
122,18
123,36
124,28
125,64
126,33
127,42
128,54
129,21
130,75
131,20
132,34
133,33
134,29
135,31
136,14
137,74
138,74
