ID,PREDICTION
1,56
2,77
3,60
4,78
5,64
6,66
7,59
8,39
9,60
10,46
11,26
12,52
13,60
14,37
15,21
16,67
17,25
18,71
19,83
20,86
21,73
22,26
23,65
24,79
25,71
26,33
27,68
28,21
29,25
30,27
31,65
32,42
33,24
34,36
35,29
36,62
37,92
38,84
39,60
40,79
41,54
42,74
43,75
44,32
45,60
46,46
47,34
48,27
49,18
50,56
51,30
52,82
53,25
54,40
55,35
56,97
57,75
58,78
59,21
60,56
61,62
62,73
63,32
64,60
65,22
66,37
67,31
68,25
69,81
70,72
71,83
72,76
73,13
74,25
75,74
76,77
77,42
78,68
79,53
80,26
81,58
82,65
83,81
84,46
85,27
86,90
87,32
88,49
89,27
90,72
91,26
92,62
93,37
94,25
95,73
96,83
97,56
98,83
99,42
100,51
101,50
102,44
103,40
104,81
105,33
106,36
107,84
108,27
109,29
110,62
111,31
112,26
113,21
114,59
115,80
116,32
117,76
118,56
119,38
120,30
121,27
122,21
123,28
124,30
125,56
126,36
127,22
128,57
129,22
130,81
131,18
132,29
133,27
134,26
135,25
136,18
137,69
138,79
