ID,PREDICTION
1,53
2,67
3,52
4,61
5,61
6,56
7,51
8,47
9,55
10,52
11,45
12,51
13,54
14,50
15,41
16,58
17,41
18,63
19,63
20,68
21,66
22,40
23,58
24,69
25,68
26,47
27,59
28,44
29,43
30,44
31,54
32,47
33,42
34,51
35,44
36,61
37,68
38,66
39,56
40,69
41,53
42,65
43,69
44,48
45,53
46,48
47,45
48,43
49,40
50,54
51,44
52,63
53,43
54,46
55,47
56,72
57,61
58,60
59,42
60,56
61,57
62,60
63,44
64,52
65,40
66,46
67,45
68,43
69,64
70,56
71,64
72,62
73,40
74,43
75,60
76,58
77,44
78,57
79,52
80,42
81,54
82,60
83,63
84,52
85,45
86,69
87,46
88,46
89,44
90,58
91,41
92,56
93,45
94,41
95,56
96,67
97,52
98,60
99,48
100,51
101,54
102,49
103,46
104,67
105,46
106,45
107,67
108,45
109,46
110,54
111,51
112,42
113,40
114,57
115,61
116,44
117,66
118,55
119,47
120,44
121,43
122,40
123,47
124,46
125,56
126,47
127,45
128,58
129,43
130,72
131,42
132,41
133,48
134,48
135,44
136,41
137,62
138,68
